order_id,order_date,product_id,warehouse_id,quantity,unit_price,promo_flag
1,2025-12-01,1,2,1,235.94,0
2,2025-12-01,1,3,2,207.33,0
3,2025-12-01,1,3,1,233.29,0
4,2025-12-01,1,4,1,204.21,0
5,2025-12-01,1,4,2,205.47,0
6,2025-12-01,1,4,1,226.66,0
7,2025-12-01,1,5,1,206.41,0
8,2025-12-01,2,2,1,363.81,0
9,2025-12-01,2,3,1,323.85,0
10,2025-12-01,2,4,2,335.24,0
11,2025-12-01,2,4,2,322.6,0
12,2025-12-01,3,1,1,404.42,0
13,2025-12-01,3,1,2,389.63,0
14,2025-12-01,3,1,2,393.36,0
15,2025-12-01,3,1,2,400.54,0
16,2025-12-01,3,1,5,388.97,1
17,2025-12-01,3,1,1,413.9,0
18,2025-12-01,3,2,1,347.81,1
19,2025-12-01,3,3,3,382.11,0
20,2025-12-01,3,4,1,387.2,0
21,2025-12-01,3,4,2,351.35,0
22,2025-12-01,3,5,4,412.5,0
23,2025-12-01,4,1,2,66.85,0
24,2025-12-01,4,1,1,68.12,0
25,2025-12-01,4,1,1,66.06,0
26,2025-12-01,4,1,1,74.56,0
27,2025-12-01,4,1,2,73.19,0
28,2025-12-01,4,2,1,73.36,0
29,2025-12-01,4,2,2,62.73,0
30,2025-12-01,4,2,3,72.54,0
31,2025-12-01,4,2,3,65.05,0
32,2025-12-01,4,3,1,69.41,0
33,2025-12-01,4,4,3,62.78,0
34,2025-12-01,4,4,3,70.76,0
35,2025-12-01,4,4,3,66.56,0
36,2025-12-01,4,4,1,74.39,0
37,2025-12-01,4,5,3,75.08,0
38,2025-12-01,4,5,3,73.22,0
39,2025-12-01,4,5,1,61.75,0
40,2025-12-01,5,1,2,489.84,0
41,2025-12-01,5,1,2,495.0,0
42,2025-12-01,5,1,1,477.67,0
43,2025-12-01,5,3,2,501.84,0
44,2025-12-01,5,4,1,491.71,0
45,2025-12-01,5,5,4,495.1,0
46,2025-12-01,5,5,1,464.17,0
47,2025-12-01,6,1,1,451.86,0
48,2025-12-01,6,1,2,374.53,0
49,2025-12-01,6,1,3,386.18,0
50,2025-12-01,6,2,1,418.7,0
51,2025-12-01,6,2,2,412.96,0
52,2025-12-01,6,2,3,382.1,0
53,2025-12-01,6,2,1,423.37,0
54,2025-12-01,6,3,3,405.54,1
55,2025-12-01,6,3,1,428.93,0
56,2025-12-01,6,4,1,400.78,0
57,2025-12-01,6,4,3,412.57,0
58,2025-12-01,6,4,1,440.09,0
59,2025-12-01,6,5,3,398.59,0
60,2025-12-01,7,1,3,299.45,0
61,2025-12-01,7,2,3,307.22,0
62,2025-12-01,7,3,3,280.92,0
63,2025-12-01,7,3,3,282.65,0
64,2025-12-01,7,3,4,276.63,0
65,2025-12-01,7,3,2,277.81,0
66,2025-12-01,7,4,4,267.9,0
67,2025-12-01,7,5,4,289.04,0
68,2025-12-01,7,5,4,281.73,0
69,2025-12-01,7,5,4,299.2,0
70,2025-12-01,8,1,2,406.27,0
71,2025-12-01,8,1,2,389.1,0
72,2025-12-01,8,1,1,398.72,0
73,2025-12-01,8,1,2,425.77,0
74,2025-12-01,8,2,2,445.1,0
75,2025-12-01,8,2,1,427.46,0
76,2025-12-01,8,2,1,434.07,0
77,2025-12-01,8,2,3,437.68,1
78,2025-12-01,8,3,1,439.73,0
79,2025-12-01,8,3,2,377.25,0
80,2025-12-01,8,3,1,437.38,0
81,2025-12-01,8,3,3,392.66,1
82,2025-12-01,8,4,3,406.5,1
83,2025-12-01,8,4,2,402.08,0
84,2025-12-01,8,5,1,388.77,0
85,2025-12-01,8,5,1,456.04,0
86,2025-12-01,9,1,2,187.74,0
87,2025-12-01,9,2,1,163.08,0
88,2025-12-01,9,2,1,177.62,0
89,2025-12-01,9,2,2,194.82,0
90,2025-12-01,9,3,2,183.77,0
91,2025-12-01,9,4,1,172.67,0
92,2025-12-01,9,5,2,191.85,0
93,2025-12-01,9,5,2,166.12,0
94,2025-12-01,9,5,1,178.07,0
95,2025-12-01,10,2,2,448.53,0
96,2025-12-01,10,3,1,464.81,1
97,2025-12-01,10,4,1,479.53,0
98,2025-12-01,11,1,2,224.72,0
99,2025-12-01,11,1,1,223.2,0
100,2025-12-01,11,2,3,214.66,0
101,2025-12-01,11,2,3,213.9,0
102,2025-12-01,11,4,4,252.71,1
103,2025-12-01,11,4,1,224.43,0
104,2025-12-01,11,5,1,240.79,0
105,2025-12-01,11,5,3,213.84,1
106,2025-12-01,11,5,2,246.66,0
107,2025-12-01,11,5,3,240.46,0
108,2025-12-01,12,3,3,73.5,1
109,2025-12-01,12,4,2,77.68,0
110,2025-12-01,12,4,2,84.03,0
111,2025-12-01,12,5,2,83.17,0
112,2025-12-01,13,1,2,476.11,0
113,2025-12-01,13,1,1,475.01,0
114,2025-12-01,13,1,2,501.59,0
115,2025-12-01,13,3,1,506.52,0
116,2025-12-01,13,3,1,507.31,0
117,2025-12-01,13,4,2,455.31,0
118,2025-12-01,13,4,1,472.03,0
119,2025-12-01,13,4,2,494.44,0
120,2025-12-01,13,5,1,472.04,0
121,2025-12-01,13,5,1,468.38,0
122,2025-12-01,14,1,2,177.16,0
123,2025-12-01,14,1,7,171.24,0
124,2025-12-01,14,2,4,202.57,0
125,2025-12-01,14,2,6,172.25,0
126,2025-12-01,14,2,7,173.2,0
127,2025-12-01,14,2,6,179.08,0
128,2025-12-01,14,3,4,198.64,0
129,2025-12-01,14,3,1,173.32,0
130,2025-12-01,14,3,1,185.12,0
131,2025-12-01,14,3,1,202.49,0
132,2025-12-01,14,4,5,203.0,0
133,2025-12-01,14,4,1,189.76,0
134,2025-12-01,14,5,4,175.7,0
135,2025-12-01,14,5,4,174.02,1
136,2025-12-01,15,1,2,76.08,0
137,2025-12-01,15,1,3,75.14,0
138,2025-12-01,15,1,2,73.39,0
139,2025-12-01,15,2,3,76.15,1
140,2025-12-01,15,2,3,64.17,0
141,2025-12-01,15,2,2,66.8,0
142,2025-12-01,15,3,2,71.78,0
143,2025-12-01,15,3,1,72.77,0
144,2025-12-01,15,3,2,66.57,0
145,2025-12-01,15,3,2,70.17,0
146,2025-12-01,15,4,3,64.12,0
147,2025-12-01,15,4,3,62.65,0
148,2025-12-01,15,4,3,74.31,0
149,2025-12-01,15,4,3,64.3,0
150,2025-12-01,15,5,2,70.84,0
151,2025-12-01,15,5,2,67.92,0
152,2025-12-01,15,5,2,74.51,0
153,2025-12-01,16,1,3,111.32,0
154,2025-12-01,16,1,4,128.54,0
155,2025-12-01,16,1,4,116.3,0
156,2025-12-01,16,1,1,111.64,0
157,2025-12-01,16,2,3,113.47,1
158,2025-12-01,16,2,4,123.76,0
159,2025-12-01,16,3,2,120.13,0
160,2025-12-01,16,4,1,126.35,0
161,2025-12-01,16,4,2,115.52,0
162,2025-12-01,16,5,1,113.06,0
163,2025-12-01,16,5,1,113.88,0
164,2025-12-01,16,5,4,115.36,0
165,2025-12-01,16,5,1,126.54,0
166,2025-12-01,16,5,1,109.19,0
167,2025-12-01,16,5,3,115.83,1
168,2025-12-01,17,1,2,387.72,0
169,2025-12-01,17,2,2,417.53,0
170,2025-12-01,17,2,1,393.75,0
171,2025-12-01,17,2,2,390.17,0
172,2025-12-01,17,2,2,458.1,0
173,2025-12-01,17,4,2,393.88,0
174,2025-12-01,17,4,1,422.72,0
175,2025-12-01,17,5,1,410.39,0
176,2025-12-01,17,5,2,407.62,0
177,2025-12-01,17,5,1,431.92,0
178,2025-12-01,18,3,3,158.86,0
179,2025-12-01,18,3,1,149.9,0
180,2025-12-01,18,4,1,147.96,0
181,2025-12-01,18,4,1,155.07,1
182,2025-12-01,18,5,1,147.09,0
183,2025-12-01,18,5,2,167.74,0
184,2025-12-01,19,1,2,199.83,0
185,2025-12-01,19,1,4,196.55,0
186,2025-12-01,19,1,4,200.14,0
187,2025-12-01,19,2,4,191.24,0
188,2025-12-01,19,3,4,194.87,0
189,2025-12-01,19,3,2,189.74,0
190,2025-12-01,19,3,2,183.66,0
191,2025-12-01,19,4,4,213.63,0
192,2025-12-01,19,4,4,214.34,1
193,2025-12-01,19,5,5,206.38,1
194,2025-12-01,19,5,4,177.34,0
195,2025-12-01,19,5,4,199.36,0
196,2025-12-01,20,1,7,374.63,0
197,2025-12-01,20,1,6,334.23,0
198,2025-12-01,20,2,5,337.7,0
199,2025-12-01,20,2,7,366.0,0
200,2025-12-01,20,3,1,319.76,0
201,2025-12-01,20,3,6,340.22,1
202,2025-12-01,20,3,5,321.48,0
203,2025-12-01,20,4,4,314.09,0
204,2025-12-01,20,5,6,311.33,0
205,2025-12-01,20,5,3,372.73,1
206,2025-12-01,20,5,9,365.79,1
207,2025-12-01,20,5,7,335.79,0
208,2025-12-01,20,5,7,329.86,0
209,2025-12-01,21,1,2,9.21,0
210,2025-12-01,21,2,2,9.33,0
211,2025-12-01,21,2,2,8.44,0
212,2025-12-01,21,2,1,7.91,0
213,2025-12-01,21,3,1,8.67,0
214,2025-12-01,21,3,2,7.86,0
215,2025-12-01,21,3,1,9.35,0
216,2025-12-01,21,3,2,9.16,0
217,2025-12-01,21,4,2,9.11,0
218,2025-12-01,21,4,1,8.9,0
219,2025-12-01,21,4,2,8.07,0
220,2025-12-01,21,4,1,8.64,0
221,2025-12-01,21,5,2,7.89,0
222,2025-12-01,21,5,1,7.86,0
223,2025-12-01,22,1,2,343.32,0
224,2025-12-01,22,1,3,344.96,0
225,2025-12-01,22,1,3,354.96,0
226,2025-12-01,22,1,1,315.09,0
227,2025-12-01,22,2,2,318.9,0
228,2025-12-01,22,4,1,351.51,0
229,2025-12-01,22,4,1,310.54,0
230,2025-12-01,22,5,3,305.36,0
231,2025-12-01,23,1,3,220.13,0
